,GW_storage[cm],SM_storage[cm],SFC_storage[cm],SWE_storage[cm],total_storage[cm],total_storage[cm]_noGW,anomaly[cm],SM_anomaly[cm],GW_anomaly[cm],SWE_anomaly[cm],SFC_anomaly[cm],anomaly[cm]_noGW
1986-09-30,2170.5313663666293,57.68435323462419,0.39052550848809636,0.05355163094464443,2228.6597967406865,58.128430374056926,-1.765839123592201,2.203748428436419,-1.8037484934835586,-1.791955596112771,-0.37388346243266996,0.0379093698909798
1986-10-31,2170.5572525631896,60.10130166494918,0.7691920106629205,0.21172560170773688,2231.6394718405095,61.082219277319844,1.2138359762308786,4.620696858761418,-1.777862296923413,-1.6337816253496789,0.004783039742154152,2.9916982731538964
1986-11-30,2170.6252642014124,61.53103215322569,0.9943361090332122,0.8694112285910619,2234.0200436922623,63.39477949084996,3.594407827983344,6.0504273470379175,-1.7098506587010704,-0.9760959984663538,0.22992713811244603,5.304258486684012
1986-12-31,2170.703370414159,61.83328107479103,0.8929863210884706,1.4206809635433169,2234.850318773582,64.14694835942281,4.424682909303026,6.352676268603256,-1.6317444459542099,-0.4248262635140987,0.12857735016770427,6.056427355256863
1987-01-31,2170.761197906409,61.65737100550705,0.7301002416950296,2.3153234247021346,2235.463992578313,64.70279467190421,5.0383567140344905,6.176766199319283,-1.5739169537041562,0.4698161976447192,-0.03430872922573667,6.6122736677382665
1987-02-28,2170.790269135861,62.007263855993706,0.8468196916409786,2.944320786471245,2236.5886734699666,65.79840433410592,6.1630376056879985,6.526659049805941,-1.5448457242523754,1.098813559413829,0.08241072072021227,7.7078833299399845
1987-03-31,2170.8098532015338,62.87145333853148,1.1475169605609168,3.8825183127029548,2238.7113418133295,67.90148861179536,8.285705949050623,7.390848532343712,-1.525261658579169,2.0370110856455392,0.38310798964015047,9.810967607629404
1987-04-30,2170.83474533763,63.33976700606981,1.4169316198579718,3.465530966311262,2239.0569749298693,68.22222959223905,8.631339065590494,7.85916219988204,-1.5003695224829945,1.6200237392538464,0.6525226489372054,10.131708588073094
1987-05-31,2170.878765770961,63.292338972849784,2.12963243780812,1.0631296489015705,2237.3638668305202,66.48510105955947,6.938230966241609,7.811734166662015,-1.4563490891522908,-0.7823775781558452,1.3652234668873535,8.394580055393526
1987-06-30,2170.936112814628,61.77918357678619,1.5107779165718067,0.16231332239788973,2234.388387630384,63.452274815755885,3.9627517661049683,6.298578770598421,-1.3990020454853505,-1.6831939046595257,0.7463689456510404,5.361753811589937
